"Codice comune","Comune","Sesso","Popolazione censita al 1° gennaio","Nati vivi","Morti","Saldo naturale","Immigrati da altro comune","Emigrati per altro comune","Saldo migratorio interno","Immigrati dall'estero","Emigrati per l'estero","Saldo migratorio con l'estero","Unità in più/meno dovute a variazioni territoriali","Aggiustamento statistico","Saldo totale","Popolazione censita al 31 dicembre","Numero di famiglie al 31 dicembre","Popolazione censita al 31 dicembre residente in famiglia","Numero medio di componenti per famiglia al 31 dicembre","Numero di convivenze al 31 dicembre","Popolazione censita al 31 dicembre residente in convivenza"
"084001","Agrigento","Maschi","28598","225","261","-36","454","668","-214","128","57","71","0","-114","-293","28305","","27872","","","433"
"084001","Agrigento","Femmine","29576","173","293","-120","368","503","-135","63","64","-1","0","-33","-289","29287","","29180","","","107"
"084001","Agrigento","Totale","58174","398","554","-156","822","1171","-349","191","121","70","0","-147","-582","57592","24296","57052","2.4","54","540"
"084002","Alessandria della Rocca","Maschi","1315","9","23","-14","14","21","-7","4","3","1","0","-4","-24","1291","","1290","","","1"
"084002","Alessandria della Rocca","Femmine","1436","4","23","-19","17","46","-29","1","7","-6","0","2","-52","1384","","1381","","","3"
"084002","Alessandria della Rocca","Totale","2751","13","46","-33","31","67","-36","5","10","-5","0","-2","-76","2675","1260","2671","2.1","2","4"
"084003","Aragona","Maschi","4546","21","52","-31","49","102","-53","18","14","4","0","-11","-91","4455","","4343","","","112"
"084003","Aragona","Femmine","4773","28","49","-21","47","97","-50","10","15","-5","0","-1","-77","4696","","4677","","","19"
"084003","Aragona","Totale","9319","49","101","-52","96","199","-103","28","29","-1","0","-12","-168","9151","3608","9020","2.5","18","131"
"084004","Bivona","Maschi","1681","10","28","-18","10","36","-26","4","0","4","0","-1","-41","1640","","1640","","","0"
"084004","Bivona","Femmine","1794","9","23","-14","15","34","-19","2","5","-3","0","3","-33","1761","","1761","","","0"
"084004","Bivona","Totale","3475","19","51","-32","25","70","-45","6","5","1","0","2","-74","3401","1579","3401","2.2","0","0"
"084005","Burgio","Maschi","1270","12","23","-11","12","11","1","3","1","2","0","-1","-9","1261","","1260","","","1"
"084005","Burgio","Femmine","1346","10","19","-9","9","20","-11","9","0","9","0","1","-10","1336","","1335","","","1"
"084005","Burgio","Totale","2616","22","42","-20","21","31","-10","12","1","11","0","0","-19","2597","1122","2595","2.3","2","2"
"084006","Calamonaci","Maschi","624","2","9","-7","13","17","-4","2","0","2","0","-4","-13","611","","611","","","0"
"084006","Calamonaci","Femmine","655","1","11","-10","9","8","1","2","0","2","0","-2","-9","646","","646","","","0"
"084006","Calamonaci","Totale","1279","3","20","-17","22","25","-3","4","0","4","0","-6","-22","1257","562","1257","2.2","0","0"
"084007","Caltabellotta","Maschi","1651","12","39","-27","14","25","-11","6","5","1","0","2","-35","1616","","1614","","","2"
"084007","Caltabellotta","Femmine","1826","17","37","-20","15","27","-12","1","6","-5","0","1","-36","1790","","1786","","","4"
